msg,class
"Hey, call me when you're free.",ham
I'll call you after lunch.,ham
Call me once you reach home.,ham
Can you call mom later?,ham
Don’t forget to call me in the evening.,ham
Let’s call it a day and meet tomorrow.,ham
"Bro, call me if you need help with the project.",ham
Call me once you’re done with the class.,ham
I'll call you when I get some time.,ham
"Ra, call me when you're near the bus stop.",ham
Can you call your uncle and ask about the function?,ham
Call your dad and let him know.,ham
Don't forget to call your grandmother on her birthday.,ham
Call home if you’re getting late.,ham
I’ll call you and explain the recipe.,ham
Your sister asked you to call her.,ham
Call amma before she sleeps.,ham
Call me to discuss the assignment.,ham
Please call the electrician before 5 PM.,ham
Call and confirm the meeting time.,ham
Can you call the lab assistant and check?,ham
Let’s call the professor after the lecture.,ham
Don’t forget to call and register for the exam.,ham
Call and book the library room for our group study.,ham
I’ll call you back in 10 minutes.,ham
"Just saw your missed call, will call soon.",ham
"Call rejected due to poor signal, try again later.",ham
"He’s in a meeting, said he’ll call back.",ham
She couldn’t call you as her phone died.,ham
We’ll call you if anything changes.,ham
I’ll call and check the store’s opening hours.,ham
Make sure to call and confirm the package delivery.,ham
Call the clinic to reschedule the appointment.,ham
Let’s call and wish him on his promotion.,ham
Remind me to call the mechanic tomorrow.,ham
Call the tuition teacher and ask for the new schedule.,ham
I'll call and order the food in 10 mins.,ham
Call me at 6 before the match starts.,ham
Did you call and check the bus timings?,ham
Call your bank and ask for the statement.,ham
Please call me before leaving college.,ham
We need to call the customer to confirm the address.,ham
"Try to call her after 8 PM, she's usually free then.",ham
I'll call you once I finish cooking.,ham
Call me if the parcel arrives early.,ham
Let me call and check if the hall is available.,ham
Don’t call during the meeting hours.,ham
Can you call and remind me later?,ham
We should call them and thank for the help.,ham
Are you free this evening to hang out?,ham
Let me know when you’re free to talk.,ham
Call me when you’re free! no hurry.,ham
I’m finally free this weekend let’s meet!,ham
Free after lunch? Let’s grab something.,ham
Are you free for a movie tonight?,ham
Let’s catch up when you’re free.,ham
Hey free to chat now?,ham
I’ll be free after 6. Shall we call?,ham
Are you free on Sunday morning?,ham
Can we schedule the meeting when you’re free?,ham
Let me know your free time tomorrow.,ham
The room is free at 4 PM for the call.,ham
Are you free to review the report today?,ham
The manager will be free after 3.,ham
Free slot opened up in the calendar at 2 PM.,ham
Ask him when he’s free for the demo.,ham
Is the conference room free now?,ham
I’ll be free in 15 mins join me in the cabin.,ham
She’s free only after the client meeting.,ham
I feel so free after submitting the project!,ham
Got some free time finally!,ham
It’s good to be stress-free today.,ham
Enjoy your free day!,ham
I’m free today thinking of cleaning my room.,ham
Finally got some free hours to relax.,ham
You look free today — what’s the plan?,ham
Free from exams at last!,ham
Do something productive with your free time.,ham
Make sure to keep your schedule free tomorrow.,ham
"Hey, it's me! Urgent! Read this right away. Call me on 9000XXXXXX 🚀",spam
"Hey dude, You’ve got to check this now. Call me on 9876XXXXXX 😲",spam
Yo bro! Click the link below! Call me on 9000XXXXXX 😮,spam
Check this out! I just found something crazy. Call me on 8765XXXXXX 📞,spam
Long time no see! You're not gonna want to miss this. Call me on 9123XXXXXX 😲,spam
Hi there! Click the link below!,spam
You won't believe this! Check your rewards here ,spam
"Hey, it's me! Check your rewards here. Call me on 9123XXXXXX 📞",spam
Guess what? Check your rewards here. Call me on 9988XXXXXX 👇,spam
Long time no see! Click the link below! Call me on 9000XXXXXX 💰,spam
Yo bro! Look what I found for you. Check your rewards here,spam
"Hi there! It’s amazing, trust me! Check your rewards here",spam
"Check this out! Time-sensitive info, Check your rewards here",spam
"Hey, it's me! You're not gonna want to miss this. Check your rewards here",spam
Hi there! I just found something crazy. Check your rewards here,spam
Yo bro! I just found something crazy. Click the link below!,spam
"Hey, it's me! Time-sensitive info, act fast. Call me on 9876XXXXXX 😲",spam
"Yo bro! Time-sensitive info, act fast. Call me on 9876XXXXXX 🎉",spam
"Hey dude, Call me on this number.act fast Click the link below!🎁",spam
"Hi there! It’s amazing, trust me!act fast Click the link below!🎉",spam
Check this out! Call me on this number.act fast Click the link below!,spam
You won't believe this! Check your rewards here.act fast Click the link below!,spam
Hi there! You’ve got to check this now. Call me on 8765XXXXXX 😮,spam
"Yo bro! It’s amazing, trust me! Call me on 9123XXXXXX 🚀",spam
Check this out! You’ve got to check this now. ,spam
Check this out! I just found something crazy. 😮,spam
Long time no see! You’ve got to check this now.  ⚠️,spam
"Hey, it's me! Time-sensitive info, act fast.👇",spam
Yo bro! Look what I found for you. Call me on 8765XXXXXX 😮,spam
Check this out! I just found something crazy. Call me on 9988XXXXXX 😮,spam
Long time no see! You’ve got to check this now. Call me on 8765XXXXXX ⚠️,spam
"Hey, it's me! Time-sensitive info, act fast. Call me on 9876XXXXXX 👇",spam
Yo bro! Look what I found for you. Call me on 8765XXXXXX 😮,spam
"Hey, it's me! Time-sensitive info, act fast. Call me on 8765XXXXXX 💰",spam
Long time no see! Urgent! Read this right away. Call me on 9876XXXXXX 🎁,spam
Yo bro! I just found something crazy. Call me on 9876XXXXXX 🚀,spam
Yo bro! You're not gonna want to miss this. Call me on 8765XXXXXX 😲,spam
"You won't believe this! It’s amazing, trust me! Call me on 9988XXXXXX 👇",spam
"Hey, it's me! Look what I found for you. Call me on 8765XXXXXX 🔥",spam
"Hey, it's me! Look what I found for you. Call me on 9123XXXXXX 💰",spam
Check this out! Look what I found for you. Call me on 9876XXXXXX 😲,spam
"Hey dude, Time-sensitive info, act fast. Call me on 9876XXXXXX 🔥",spam
"Hey, it's me! You're not gonna want to miss this. Call me on 9123XXXXXX 😮",spam
Long time no see! Check your rewards here. Call me on 8765XXXXXX 😲,spam
Hi there! You're not gonna want to miss this. Call me on 9123XXXXXX 😮,spam
Yo bro! Check your rewards here. Call me on 9123XXXXXX 💰,spam
Long time no see! You’ve got to check this now. Call me on 9123XXXXXX 🚀,spam
"You won't believe this! Time-sensitive info, act fast. Call me on 9123XXXXXX 🔥",spam
Hi there! Look what I found for you. Call me on 9123XXXXXX 😮,spam
Check this out! You’ve got to check this now. Call me on 9876XXXXXX 😮,spam
"Hey, it's me! You’ve got to check this now. Call me on 9876XXXXXX 💰",spam
"Hey, it's me! It’s amazing, trust me! Call me on 9876XXXXXX 🔥",spam
Hi there! Check your rewards here. Call me on 9876XXXXXX 🎉,spam
Hi there! Check your rewards here. Call me on 9988XXXXXX 🚀,spam
Long time no see! You’ve got to check this now. Call me on 9123XXXXXX 🚀,spam
"You won't believe this! Time-sensitive info, act fast. Call me on 9123XXXXXX 🔥",spam
Hi there! Look what I found for you. Call me on 9123XXXXXX 😮,spam
Check this out! You’ve got to check this now. Call me on 9876XXXXXX 😮,spam
"Hey, it's me! You’ve got to check this now. Call me on 9876XXXXXX 💰",spam
"Hey, it's me! It’s amazing, trust me! Call me on 9876XXXXXX 🔥",spam
Hi there! Check your rewards here. Call me on 9876XXXXXX 🎉,spam
Hi there! Check your rewards here. Call me on 9988XXXXXX 🚀,spam
Long time no see! Look what I found for you. Call me on 8765XXXXXX 😮,spam
Long time no see! You're not gonna want to miss this. Call me on 9876XXXXXX 😲,spam
Long time no see! You're not gonna want to miss this. Call me on 8765XXXXXX 💰,spam
"Hey, it's me! Time-sensitive info, act fast. Call me on 9876XXXXXX 📞",spam
"Guess what? It’s amazing, trust me! Call me on 9123XXXXXX ⚠️",spam
"Hey, it's me! Check your rewards here. Call me on 9123XXXXXX 📞",spam
"Hey dude, You’ve got to check this now. Call me on 8765XXXXXX 👇",spam
Hi there! You’ve got to check this now. Call me on 9123XXXXXX 💰,spam
