msg,label
are you free now,HAM
hello grab this free offer click this link,SPAM
hey vardhan lets catch up on sunday,HAM
check our exciting offers  click the link below,SPAM
hello dear customer  purchase on this link,SPAM
yes  we are restarting with stat,HAM
grab this offer now  hurry up,SPAM
hello ra,HAM
hey ravi lets meet tomorrow,HAM
hey customer  grab this offer  hurry up,SPAM
hii how are you,HAM
hello grab this offer  click on this link,SPAM
hello customer  click this link for offers,SPAM
hello harsha,HAM
hello dear  whats up,HAM
hii  aman  what are you doing,HAM
heyy click on this link for offers good luck,SPAM
hello chinnu  lets meet there,HAM
hii customer  click on this link for offers,SPAM
"Enter Here hii",HAM
Enter Here,HAM
Enter Here,HAM
Hello aman,HAM
Hi ra puka,HAM
modda guduv,HAM
